time_local,time_utc,timestamp_ms,price_eur_per_mwh,resolution,source
2025-01-01T20:15+01:00,2025-01-01T19:15+00:00,1735758900000,1.000000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T20:30+01:00,2025-01-01T19:30+00:00,1735759800000,1.000000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T20:45+01:00,2025-01-01T19:45+00:00,1735760700000,1.000000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T21:00+01:00,2025-01-01T20:00+00:00,1735761600000,0.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T21:15+01:00,2025-01-01T20:15+00:00,1735762500000,0.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T21:30+01:00,2025-01-01T20:30+00:00,1735763400000,0.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T21:45+01:00,2025-01-01T20:45+00:00,1735764300000,0.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T22:00+01:00,2025-01-01T21:00+00:00,1735765200000,10.050000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T22:15+01:00,2025-01-01T21:15+00:00,1735766100000,10.050000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T22:30+01:00,2025-01-01T21:30+00:00,1735767000000,10.050000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T22:45+01:00,2025-01-01T21:45+00:00,1735767900000,10.050000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T23:00+01:00,2025-01-01T22:00+00:00,1735768800000,7.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T23:15+01:00,2025-01-01T22:15+00:00,1735769700000,7.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T23:30+01:00,2025-01-01T22:30+00:00,1735770600000,7.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-01T23:45+01:00,2025-01-01T22:45+00:00,1735771500000,7.010000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T00:00+01:00,2025-01-01T23:00+00:00,1735772400000,2.550000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T00:15+01:00,2025-01-01T23:15+00:00,1735773300000,2.550000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T00:30+01:00,2025-01-01T23:30+00:00,1735774200000,2.550000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T00:45+01:00,2025-01-01T23:45+00:00,1735775100000,2.550000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T01:00+01:00,2025-01-02T00:00+00:00,1735776000000,1.560000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T01:15+01:00,2025-01-02T00:15+00:00,1735776900000,1.560000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T01:30+01:00,2025-01-02T00:30+00:00,1735777800000,1.560000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T01:45+01:00,2025-01-02T00:45+00:00,1735778700000,1.560000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T02:00+01:00,2025-01-02T01:00+00:00,1735779600000,3.450000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T02:15+01:00,2025-01-02T01:15+00:00,1735780500000,3.450000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T02:30+01:00,2025-01-02T01:30+00:00,1735781400000,3.450000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T02:45+01:00,2025-01-02T01:45+00:00,1735782300000,3.450000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T03:00+01:00,2025-01-02T02:00+00:00,1735783200000,7.020000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T03:15+01:00,2025-01-02T02:15+00:00,1735784100000,7.020000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T03:30+01:00,2025-01-02T02:30+00:00,1735785000000,7.020000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T03:45+01:00,2025-01-02T02:45+00:00,1735785900000,7.020000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T04:00+01:00,2025-01-02T03:00+00:00,1735786800000,12.750000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T04:15+01:00,2025-01-02T03:15+00:00,1735787700000,12.750000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T04:30+01:00,2025-01-02T03:30+00:00,1735788600000,12.750000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T04:45+01:00,2025-01-02T03:45+00:00,1735789500000,12.750000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T05:00+01:00,2025-01-02T04:00+00:00,1735790400000,30.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T05:15+01:00,2025-01-02T04:15+00:00,1735791300000,30.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T05:30+01:00,2025-01-02T04:30+00:00,1735792200000,30.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T05:45+01:00,2025-01-02T04:45+00:00,1735793100000,30.070000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T06:00+01:00,2025-01-02T05:00+00:00,1735794000000,67.130000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T06:15+01:00,2025-01-02T05:15+00:00,1735794900000,67.130000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T06:30+01:00,2025-01-02T05:30+00:00,1735795800000,67.130000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T06:45+01:00,2025-01-02T05:45+00:00,1735796700000,67.130000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T07:00+01:00,2025-01-02T06:00+00:00,1735797600000,98.830000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T07:15+01:00,2025-01-02T06:15+00:00,1735798500000,98.830000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T07:30+01:00,2025-01-02T06:30+00:00,1735799400000,98.830000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T07:45+01:00,2025-01-02T06:45+00:00,1735800300000,98.830000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T08:00+01:00,2025-01-02T07:00+00:00,1735801200000,121.530000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T08:15+01:00,2025-01-02T07:15+00:00,1735802100000,121.530000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T08:30+01:00,2025-01-02T07:30+00:00,1735803000000,121.530000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T08:45+01:00,2025-01-02T07:45+00:00,1735803900000,121.530000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T09:00+01:00,2025-01-02T08:00+00:00,1735804800000,127.230000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T09:15+01:00,2025-01-02T08:15+00:00,1735805700000,127.230000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T09:30+01:00,2025-01-02T08:30+00:00,1735806600000,127.230000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T09:45+01:00,2025-01-02T08:45+00:00,1735807500000,127.230000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T10:00+01:00,2025-01-02T09:00+00:00,1735808400000,126.350000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T10:15+01:00,2025-01-02T09:15+00:00,1735809300000,126.350000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T10:30+01:00,2025-01-02T09:30+00:00,1735810200000,126.350000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T10:45+01:00,2025-01-02T09:45+00:00,1735811100000,126.350000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T11:00+01:00,2025-01-02T10:00+00:00,1735812000000,119.970000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T11:15+01:00,2025-01-02T10:15+00:00,1735812900000,119.970000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T11:30+01:00,2025-01-02T10:30+00:00,1735813800000,119.970000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T11:45+01:00,2025-01-02T10:45+00:00,1735814700000,119.970000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T12:00+01:00,2025-01-02T11:00+00:00,1735815600000,115.950000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T12:15+01:00,2025-01-02T11:15+00:00,1735816500000,115.950000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T12:30+01:00,2025-01-02T11:30+00:00,1735817400000,115.950000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T12:45+01:00,2025-01-02T11:45+00:00,1735818300000,115.950000,quarterhour,SMARD day-ahead auction DE/LU
